Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
127233,The Life of the Mind,Hannah Arendt,"Arendt, Hannah",Mary McCarthy,"=""0156519925""","=""9780156519922""",0,4.26,Harvest Books,Paperback,521,1981,1971,,2021/03/13,to-read,to-read (#183),to-read,,,,0,,,0,,,,,
13237099,"Madness, Rack, and Honey: Collected Lectures",Mary Ruefle,"Ruefle, Mary",,"=""1933517573""","=""9781933517575""",0,4.43,Wave Books,Paperback,326,2012,2012,,2021/03/10,to-read,to-read (#182),to-read,,,,0,,,0,,,,,
35959979,On Doing Nothing: Finding Inspiration in Idleness,Roman Muradov,"Muradov, Roman",,"=""1452164266""","=""9781452164267""",5,3.68,Chronicle Books,Hardcover,104,2018,2018,2021/03/10,2021/03/10,,,read,,,,1,,,0,,,,,
7902560,An Attempt at Exhausting a Place in Paris,Georges Perec,"Perec, Georges",Marc Lowenthal,"=""0984115528""","=""9780984115525""",0,3.72,Wakefield Press,Paperback,55,2010,1975,,2021/03/10,to-read,to-read (#181),to-read,,,,0,,,0,,,,,
97333,At Swim-Two-Birds,Flann O'Brien,"O'Brien, Flann",William H. Gass,"=""""","=""""",0,3.89,Dalkey Archive Press,Paperback,239,1998,1939,,2021/03/05,to-read,to-read (#180),to-read,,,,0,,,0,,,,,
29082575,Memoirs of a Polar Bear,Yōko Tawada,"Tawada, Yōko",Susan Bernofsky,"=""081122578X""","=""9780811225786""",0,3.41,New Directions,Paperback,252,2016,2014,,2021/03/04,to-read,to-read (#179),to-read,,,,0,,,0,,,,,
14433696,The Origin of Man,Christine Montalbetti,"Montalbetti, Christine",Betsy Wing,"=""1564787370""","=""9781564787378""",0,3.00,Dalkey Archive Press,Paperback,232,2012,2002,,2021/03/04,to-read,to-read (#178),to-read,,,,0,,,0,,,,,
5608045,Apprenticeship Patterns: Guidance for the Aspiring Software Craftsman,Dave Hoover,"Hoover, Dave",Adewale Oshineye,"=""0596518382""","=""9780596518387""",3,4.11,O'Reilly Media,Paperback,176,2009,2009,2021/03/02,2021/03/02,,,read,,,,1,,,0,,,,,
15799151,Daily Rituals: How Artists Work,Mason Currey,"Currey, Mason",,"=""0307273601""","=""9780307273604""",0,3.65,Knopf,Hardcover,304,2013,2013,,2021/02/20,to-read,to-read (#177),to-read,,,,0,,,0,,,,,
13540368,Happiness is Possible,Oleg Zaionchkovsky,"Zaionchkovsky, Oleg","Олег Зайончковский, Andrew Bromfield, A.D.  Miller, Oleg Zayonchkovsky","=""9781908276""","=""""",4,3.92,And Other Stories,Paperback,303,2012,2009,2021/02/14,2021/02/14,,,read,,,,1,,,0,,,,,
27121718,"Abstracts and Brief Chronicles of the Time: I. Los, a Chapter",Hélène Cixous,"Cixous, Hélène",,"=""1509500553""","=""9781509500550""",0,3.87,Polity Press,Paperback,104,2016,2013,,2021/02/04,to-read,to-read (#176),to-read,,,,0,,,0,,,,,
25716554,The Master and Margarita,Mikhail Bulgakov,"Bulgakov, Mikhail","Richard Pevear, Larissa Volokhonsky","=""0143108271""","=""9780143108276""",5,4.29,Penguin Classics,Paperback,448,2016,1967,2021/02/02,2021/02/02,,,read,,,,1,,,0,,,,,
36723048,Spring,Karl Ove Knausgård,"Knausgård, Karl Ove","Karl Ove Knausgaard, Anna Bjerger, Ingvild Burkey","=""0399563369""","=""9780399563362""",0,4.34,Penguin Press,Hardcover,192,2018,2016,,2020/09/27,to-read,to-read (#157),to-read,,,,0,,,0,,,,,
23275206,No Bad Kids: Toddler Discipline Without Shame,Janet Lansbury,"Lansbury, Janet",,"=""1499351119""","=""9781499351118""",3,4.25,JLML Press,Paperback,162,2014,2014,2021/01/23,2021/01/23,,,read,,,,1,,,0,,,,,
56580011,The Fourfold Remedy: Epicurus and the Art of Happiness,John   Sellars,"Sellars, John",,"=""""","=""""",0,3.92,,Kindle Edition,,2021,,,2021/01/12,to-read,to-read (#172),to-read,,,,0,,,0,,,,,
55586396,Fundamentals: Ten Keys to Reality,Frank Wilczek,"Wilczek, Frank",,"=""""","=""""",0,3.87,,Kindle Edition,,2021,2021,,2021/01/12,to-read,to-read (#175),to-read,,,,0,,,0,,,,,
